[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -86.603 [m], -50 [m], 0 [m]
Axis 3 Point = -86.603 [m], -50 [m], 1 [m]
Plane 13 Point = -86 [m], -50 [m], 1 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
2.41804504e+000, -1.38494072e+001, 2.42338257e+002, 1.21791345e+003
2.50756073e+000, -1.35932426e+001, 2.42579376e+002, 5.18799255e+002
2.60929871e+000, -1.46013260e+001, 2.42659515e+002, 3.58147156e+002
2.43967438e+000, -1.42442551e+001, 2.42463470e+002, 6.82050415e+002
3.01396942e+000, -9.67879868e+000, 2.45363708e+002, 2.37235413e+002
2.80407715e+000, -1.01596909e+001, 2.45370453e+002, 8.23585449e+002
2.85743713e+000, -9.92918396e+000, 2.45112167e+002, 1.18521057e+003
2.81555939e+000, -1.05679779e+001, 2.45570343e+002, 4.22981049e+002
3.00624847e+000, -1.02062988e+001, 2.45511963e+002, -1.29265852e+001
3.11067200e+000, -1.05896263e+001, 2.45521454e+002, -4.58973579e+001
3.18129730e+000, -1.01346130e+001, 2.45361526e+002, -3.87985682e+000
2.32980347e+000, -1.50541763e+001, 2.42830521e+002, 7.69527832e+002
2.54035950e+000, -1.52789841e+001, 2.42972778e+002, -7.46881104e+000
2.21918488e+000, -1.50624619e+001, 2.42983566e+002, 1.29717651e+003
2.27268982e+000, -1.56385880e+001, 2.43084290e+002, 8.82517395e+002
3.08570099e+000, 1.37541466e+001, 2.15299744e+002, -2.47705566e+002
3.36553955e+000, 1.40973129e+001, 2.14953033e+002, -3.92237946e+002
3.40117645e+000, 1.33329544e+001, 2.14896744e+002, -1.65545547e+002
3.26583862e+000, 1.44344711e+001, 2.15204849e+002, 5.20779533e+001
3.24227905e+000, 1.40960922e+001, 2.15244690e+002, -2.13325928e+002
2.92595673e+000, 1.43899841e+001, 2.15273056e+002, -8.45698929e+000
-1.52865143e+001, -1.60075760e+001, 5.78991356e+001, 1.42099023e+003
-1.48631897e+001, -1.58938065e+001, 5.76826515e+001, 1.65869299e+003
